"CHEVROUX";"01190";"4.95";"46.3833"
"POLLIEU";"01350";"5.75";"45.8"
"BELIGNEUX";"01360";"5.11667";"45.8667"
"BRENAZ";"01260";"5.71667";"45.95"
"BENONCES";"01470";"5.48333";"45.8333"
"SAINT-JEAN-LE-VIEUX";"01640";"5.38917";"46.0284"
"BEAUREGARD";"01480";"4.75139";"46.002"
"OYONNAX";"01100";"5.66667";"46.25"
"MIONNAY";"01390";"4.93333";"45.9"
"GERMAGNAT";"01250";"5.45";"46.3167"
"COLIGNY";"01270";"5.35";"46.3833"
"SIMANDRE-SUR-SURAN";"01250";"5.41667";"46.2167"
"L'ABERGEMENT-CLEMENCIAT";"01400";"4.91667";"46.15"
"LESCHEROUX";"01560";"5.15";"46.4"
"ORNEX";"01210";"6.1";"46.2833"
"DOMMARTIN";"01380";"4.99167";"46.3417"
"LOMPNAS";"01680";"5.51667";"45.8"
"BETTANT";"01500";"5.36667";"45.9333"
"ARMIX";"01510";"5.58333";"45.85"
"FEILLENS";"01570";"4.88333";"46.3333"
"CHAVORNAY";"01510";"5.7";"45.8833"
"CHALLEX";"01630";"5.96667";"46.1833"
"VONGNES";"01350";"5.71667";"45.8167"
"MAGNIEU";"01300";"5.71667";"45.7833"
"GROISSIAT";"01810";"5.6";"46.2167"
"DOMPIERRE-SUR-CHALARONNE";"01400";"4.9";"46.1333"
"MONTLUEL";"01120";"5.05";"45.85"
"LE POIZAT";"01130";"5.7";"46.15"
"HOSTIAZ";"01110";"5.53333";"45.9"
"MONTANGES";"01200";"5.8";"46.1667"
"SAINTE-JULIE";"01150";"5.28333";"45.8833"
"BEY";"01290";"4.85";"46.2167"
"SONTHONNAX-LA-MONTAGNE";"01580";"5.53333";"46.2333"
"MEZERIAT";"01660";"5.03333";"46.2333"
"BELLIGNAT";"01810";"5.61667";"46.25"
"SAINT-MARCEL";"01390";"4.98723";"45.9487"
"BELLEY";"01300";"5.68333";"45.7667"
"CORBONOD";"01420";"5.81667";"45.95"
"NEYRON";"01700";"4.93223";"45.8148"
"SAINT-PAUL-DE-VARAX";"01240";"5.13333";"46.1"
"PRESSIAT";"01370";"5.38333";"46.3333"
"CHAZEY-BONS";"01300";"5.68333";"45.8"
"SERVIGNAT";"01560";"5.06667";"46.4333"
"MARLIEUX";"01240";"5.06667";"46.0667"
"ANDERT-ET-CONDON";"01300";"5.65";"45.8"
"HAUTECOURT-ROMANECHE";"01250";"5.41667";"46.1583"
"CROTTET";"01620";"4.9";"46.2833"
"DRUILLAT";"01160";"5.31667";"46.0667"
"DOMPIERRE-SUR-VEYLE";"01240";"5.2";"46.0667"
"PEROUGES";"01800";"5.18333";"45.9"
"RIGNIEUX-LE-FRANC";"01800";"5.18333";"45.9333"
"GIRON";"01130";"5.76667";"46.2333"
"CERDON";"01450";"5.46667";"46.0833"
"CRUZILLES-LES-MEPILLAT";"01290";"4.88333";"46.2167"
"LELEX";"01410";"5.95";"46.3"
"LHOPITAL";"01420";"5.77834";"46.0217"
"SEGNY";"01170";"6.08333";"46.3"
"CHEIGNIEU-LA-BALME";"01510";"5.61667";"45.8333"
"SAINT-VULBAS";"01150";"5.28333";"45.8333"
"ECHALLON";"01130";"5.74139";"46.21"
"LE MONTELLIER";"01800";"5.06667";"45.9333"
"MARTIGNAT";"01810";"5.6";"46.2167"
"CEYZERIAT";"01250";"5.31667";"46.1667"
"MONTCET";"01310";"5.11667";"46.2"
"VONNAS";"01540";"5";"46.2167"
"BUELLAS";"01310";"5.13333";"46.2"
"SAINT-BENIGNE";"01190";"4.96667";"46.4333"
"CHEVILLARD";"01430";"5.58333";"46.1167"
"BOULIGNEUX";"01330";"5";"46.0167"
"CONTREVOZ";"01300";"5.63333";"45.8"
"CHAMPDOR";"01110";"5.6";"46.0167"
"PORT";"01460";"5.56667";"46.1667"
"SURJOUX";"01420";"5.8";"46.0167"
"CHAMPFROMIER";"01410";"5.81667";"46.2"
"VESINES";"01570";"4.86667";"46.35"
"SEILLONNAZ";"01470";"5.48333";"45.8"
"VARAMBON";"01160";"5.31667";"46.0333"
"LE GRAND-ABERGEMENT";"01260";"5.66667";"46.0333"
"JASSANS-RIOTTIER";"01480";"4.75";"45.9833"
"ASNIERES-SUR-SAONE";"01570";"4.88333";"46.3833"
"CONDAMINE";"01430";"5.56667";"46.1167"
"LHUIS";"01680";"5.53333";"45.75"
"ROMANS";"01400";"5.03333";"46.1167"
"PIZAY";"01120";"5.08333";"45.8833"
"CERTINES";"01240";"5.26667";"46.1333"
"RUFFIEU";"01260";"5.66667";"46"
"MEXIMIEUX";"01800";"5.2";"45.9"
"SAINT-RAMBERT-EN-BUGEY";"01230";"5.43333";"45.95"
"AMBRONAY";"01500";"5.35";"46"
"CIZE";"01250";"5.43333";"46.2"
"SAINT-GERMAIN-SUR-RENON";"01240";"5.05";"46.0833"
"VILLETTE-SUR-AIN";"01320";"5.26862";"45.9884"
"DAGNEUX";"01120";"5.06667";"45.85"
"BOISSEY";"01190";"5";"46.3833"
"SALAVRE";"01270";"5.35";"46.3667"
"BRION";"01460";"5.55251";"46.1728"
"LABALME";"01450";"5.48333";"46.1"
"SAUVERNY";"01220";"6.11667";"46.3167"
"MONTCEAUX";"01090";"4.8";"46.1"
"BRENOD";"01110";"5.6";"46.0667"
